CID,Course No,Title,Hour,TID,Credit,Room,Type,Limit,LID,Time,DID,,CFID
54,CS 542500,Real-Time System Designs,3,43,3,EECS 125,Optional,20,2,M7M8F7F8,1,WEI-KUAN,
55,CS 546600,Software Analysis and Design Methods,3,64,3,EECS 132,Optional,50,1,M7M8M9,1,LUNG-LUNG,
56,CS 565100,Machine Learning,3,"23,33",3,MXIC 3F,Optional,20,2,F3F4Fn,1,"JERRY,JUAN DA-CHENG",
57,CS 591300,Academic Research Writing,3,61,3,EECS 129,Optional,30,2,F6F7F8,1,LIANG-PEI,
58,CS 631200,Parallel Algorithm Design,3,8,3,EECS 131,Optional,30,2,T3T4R3,1,BIING-FENG,
59,CS 655000,Computer Vision,3,1,3,DELTA 102,Optional,40,2,M7M8R6,1,SHANG-HONG,
60,CS 742900,Special Topic on Embedded System Design,2,43,2,EECS 125,Optional,0,2,M1M2,1,WEI-KUAN,
61,CS 591000,Seminar,1,"55,17",1,EECS B1,Required,160,2,W5W6,1,"CHENG-HSIN,HO TSUNG-YI",
62,CS 690000,Thesis,2,Instructor,2,Decided by Instructor,Required,201,2,Instructor,1,,
63,CS 580100,Research Methodology I,2,Instructor,2,Decided by Instructor,Optional,160,2,Instructor,1,,
64,CS 390100,System Integration Implementation I,1,Instructor,1,Decided by Instructor,Required,0,2,Instructor,1,,
65,CS 390200,System Integration Implementation II,1,Instructor,1,Decided by Instructor,Required,124,2,Instructor,1,,
66,CS 890000,Thesis,0,Instructor,0,Decided by Instructor,Required,57,2,Instructor,1,,
,,,,,,,,,,,1,,
